"id","G","region","age_band","income","credit_score","employment_yrs","score","Y","Yhat","ZG"
79,1,1,"51+",54413,737,9.9,0.9755,1,1,3
80,1,0,"18-30",35454,620,8.2,0.4436,1,0,2
81,1,0,"51+",40416,765,11.3,0.7776,1,1,2
82,0,1,"18-30",41966,583,12.2,0.2556,1,0,1
83,1,1,"18-30",30241,724,6,0.7132,0,1,3
84,0,0,"18-30",23446,590,5.5,0.071,0,0,0
85,1,0,"18-30",49362,762,8.8,0.947,1,1,2
86,1,0,"18-30",45026,669,11.5,0.9244,1,1,2
87,0,0,"18-30",25161,567,8.2,0.0274,0,0,0
88,0,0,"31-50",45822,609,7.6,0.6184,0,1,0
89,0,0,"31-50",42064,659,6.2,0.4498,1,0,0
90,1,0,"31-50",53996,672,5.7,0.871,1,1,2
91,1,0,"18-30",30323,553,5.6,0.1683,0,0,2
92,0,0,"18-30",42334,731,4.4,0.8467,0,1,0
93,1,1,"18-30",40785,663,4.8,0.5593,1,1,3
94,0,1,"31-50",18699,518,6.2,0.02,0,0,1
95,1,1,"31-50",33237,715,0,0.2394,0,0,3
96,1,0,"31-50",45910,637,9.2,0.8564,1,1,2
97,0,1,"51+",40137,687,3.1,0.4927,1,0,1
98,1,1,"18-30",28204,715,7.5,0.5198,1,1,3
99,1,0,"31-50",40101,550,8,0.1962,0,0,2
100,1,0,"18-30",25088,712,19.9,0.386,1,0,2
101,0,1,"31-50",41082,602,8.5,0.4129,1,0,1
102,1,1,"31-50",43939,642,11.8,0.7916,1,1,3
103,1,1,"18-30",53977,671,13.8,0.8813,1,1,3
104,0,0,"31-50",31904,657,9.1,0.4215,0,0,0
105,1,1,"18-30",43998,662,6.4,0.5752,0,1,3
106,0,0,"18-30",28489,692,4.8,0.4131,0,0,0
107,0,0,"18-30",26139,544,3.2,0.0264,0,0,0
108,0,1,"51+",41846,602,5,0.4451,1,0,1
109,1,1,"18-30",47387,689,10.4,0.9098,1,1,3
110,1,1,"51+",42645,673,0.2,0.3255,1,0,3
111,0,0,"31-50",37653,741,14.9,0.9349,1,1,0
112,1,0,"51+",42536,672,8.9,0.6142,0,1,2
113,1,1,"18-30",43273,753,6,0.8786,1,1,3
114,0,0,"51+",35515,523,2.8,0.0627,0,0,0
115,0,0,"51+",23445,636,9.5,0.3138,1,0,0
116,1,0,"31-50",23990,675,1.3,0.3365,0,0,2
117,1,1,"31-50",29455,596,9.8,0.1623,1,0,3
118,0,1,"18-30",43972,751,4.6,0.576,1,1,1
119,0,1,"18-30",25042,597,9.5,0.1074,0,0,1
120,1,0,"51+",44801,706,8.9,0.7801,1,1,2
121,0,0,"31-50",40386,711,6.4,0.6627,1,1,0
122,1,1,"51+",41471,802,6.5,0.8495,1,1,3
123,1,1,"18-30",42590,705,5.9,0.7803,1,1,3
124,1,0,"31-50",45204,641,10,0.724,1,1,2
125,1,1,"51+",52664,494,3.5,0.4199,0,0,3
126,0,0,"18-30",33984,645,6.5,0.4029,1,0,0
127,1,1,"18-30",37529,644,5.1,0.4249,1,0,3
128,1,1,"18-30",35015,730,2.8,0.3733,1,0,3
129,1,1,"51+",47505,776,5.1,0.9227,1,1,3
130,0,1,"18-30",34821,526,4,0.0807,0,0,1
131,0,1,"31-50",42704,650,12.2,0.6591,0,1,1
132,0,0,"31-50",23190,572,3,0.0361,0,0,0
133,0,1,"51+",30354,717,10,0.5319,0,1,1
134,0,0,"31-50",31993,640,13.6,0.6304,0,1,0
135,1,1,"31-50",44043,704,0.8,0.3847,1,0,3
136,0,1,"51+",39232,616,0,0.1838,0,0,1
137,0,0,"31-50",32277,740,9.9,0.72,1,1,0
138,0,1,"51+",35814,543,9.9,0.0965,0,0,1
139,0,1,"31-50",24741,718,16.7,0.7146,1,1,1
140,1,0,"18-30",56262,816,5,0.9813,1,1,2
141,1,1,"18-30",37931,724,8.1,0.8939,1,1,3
142,1,0,"31-50",39215,657,2.7,0.4926,1,0,2
143,1,1,"18-30",37175,643,8.7,0.3382,0,0,3
144,1,0,"31-50",32055,659,6.9,0.3549,0,0,2
145,0,0,"18-30",40951,646,12.1,0.8496,1,1,0
146,1,0,"18-30",25469,696,12.4,0.7187,1,1,2
147,1,1,"18-30",37449,781,9,0.9081,1,1,3
148,1,0,"31-50",40999,699,11.8,0.9188,1,1,2
149,1,0,"31-50",28248,691,6.7,0.4301,0,0,2
150,0,0,"31-50",42548,671,10.4,0.5219,1,1,0
151,0,1,"31-50",30143,727,3.7,0.374,0,0,1
152,1,0,"31-50",45277,750,11.8,0.9623,1,1,2
153,1,0,"18-30",25459,630,4.8,0.0841,1,0,2
154,1,0,"51+",37771,678,2.8,0.5822,0,1,2
155,1,1,"51+",40542,650,8.7,0.5621,1,1,3
156,1,0,"31-50",29194,616,8.5,0.2098,1,0,2
157,0,1,"18-30",41356,608,10.8,0.3926,0,0,1
158,1,0,"31-50",42180,674,11.9,0.7731,1,1,2
159,1,0,"51+",39243,547,13,0.1755,0,0,2
160,1,1,"51+",41426,678,8.6,0.5143,1,1,3
161,1,1,"51+",39569,548,12.1,0.14,0,0,3
162,1,0,"51+",45362,670,4.1,0.4112,0,0,2
163,0,0,"18-30",35457,590,8.8,0.4417,0,0,0
164,1,0,"18-30",52309,626,7.6,0.7026,0,1,2
165,1,1,"31-50",36668,616,8.1,0.533,1,1,3
166,1,0,"31-50",46995,610,5.8,0.4533,0,0,2
167,0,1,"31-50",35128,707,1.1,0.3435,0,0,1
168,1,1,"31-50",57294,638,10,0.7732,1,1,3
169,1,1,"18-30",40221,674,11.2,0.7049,1,1,3
170,1,0,"18-30",41027,739,9.2,0.8765,1,1,2
171,0,0,"31-50",31179,652,11,0.2336,1,0,0
172,1,0,"31-50",23305,677,18.7,0.4827,1,0,2
173,0,0,"31-50",18209,566,16.8,0.1298,0,0,0
174,0,0,"31-50",32912,694,7.6,0.2436,1,0,0
175,0,0,"18-30",34738,736,4.5,0.563,1,1,0
176,0,0,"51+",28478,675,6.4,0.0757,1,0,0
177,1,0,"31-50",44925,642,3.5,0.2359,0,0,2
178,1,0,"31-50",50895,719,8.9,0.882,1,1,2
179,0,1,"18-30",47705,462,8.6,0.1537,0,0,1
180,0,0,"31-50",16564,595,2.3,0.0596,0,0,0
181,0,0,"18-30",40479,646,7.4,0.55,0,1,0
182,1,1,"31-50",47573,815,11.5,0.9681,1,1,3
183,0,0,"18-30",39543,559,7.3,0.1712,0,0,0
184,1,0,"31-50",49023,619,5.9,0.61,1,1,2
185,0,1,"51+",32821,604,10.8,0.1823,0,0,1
186,1,1,"18-30",37696,635,2.9,0.5165,0,1,3
187,1,1,"31-50",48155,686,9.4,0.9017,0,1,3
188,0,0,"31-50",28587,669,7.5,0.0945,0,0,0
189,0,1,"18-30",41143,604,7.3,0.3551,0,0,1
190,0,1,"31-50",27587,647,0,0.1375,0,0,1
191,1,1,"18-30",35303,678,10.5,0.5746,1,1,3
192,1,0,"31-50",34405,601,8.1,0.3425,0,0,2
193,0,0,"51+",41062,539,8.5,0.2636,0,0,0
194,0,1,"18-30",33521,656,4.1,0.362,0,0,1
195,0,0,"18-30",38305,632,0,0.2728,0,0,0
196,1,1,"31-50",59008,661,10.5,0.7785,0,1,3
197,1,0,"31-50",32047,782,5.5,0.7767,1,1,2
198,0,1,"51+",44618,711,0.2,0.5061,1,1,1
199,1,1,"18-30",44990,704,15.6,0.8985,1,1,3
200,0,1,"31-50",34123,542,9.7,0.1076,0,0,1
201,1,1,"18-30",30550,603,8.8,0.2562,1,0,3
202,0,0,"31-50",56764,742,11.6,0.9494,1,1,0
203,0,0,"18-30",20731,728,0.4,0.2334,1,0,0
204,1,0,"18-30",33882,564,10.1,0.0858,1,0,2
205,1,0,"51+",49007,728,8.2,0.9343,1,1,2
206,0,0,"31-50",21569,583,6.8,0.0399,0,0,0
207,1,1,"51+",43522,777,10.1,0.8052,1,1,3
208,1,1,"31-50",27467,659,9.3,0.1952,1,0,3
209,1,0,"18-30",43625,706,9.5,0.6911,1,1,2
210,1,1,"18-30",57414,765,6.2,0.9755,1,1,3
211,1,1,"31-50",41587,750,8,0.7659,1,1,3
212,1,0,"31-50",43850,664,3.1,0.5215,0,1,2
213,1,1,"51+",45812,752,8.7,0.7442,1,1,3
214,0,1,"31-50",27633,596,6.9,0.1542,0,0,1
215,1,0,"18-30",32317,692,5.3,0.4337,1,0,2
216,0,0,"51+",29750,602,4.9,0.2835,0,0,0
217,1,1,"31-50",42854,698,8.7,0.6901,1,1,3
218,1,1,"18-30",31422,578,9,0.1559,0,0,3
219,0,1,"31-50",33394,682,7.1,0.3222,0,0,1
220,0,1,"31-50",40397,727,6.3,0.7373,1,1,1
221,1,0,"18-30",35615,759,10.5,0.6038,1,1,2
222,0,0,"18-30",33546,631,6.8,0.1282,0,0,0
223,0,0,"18-30",35398,805,10,0.7484,1,1,0
224,0,1,"51+",21111,600,2,0.0453,0,0,1
225,1,0,"31-50",38674,694,6.5,0.4146,0,0,2
226,1,1,"51+",30361,577,17.6,0.4693,0,0,3
227,1,0,"31-50",37967,695,8,0.6742,1,1,2
228,0,1,"18-30",38049,658,9.4,0.4941,0,0,1
229,0,1,"18-30",39016,537,16.7,0.1356,0,0,1
230,0,0,"18-30",26885,643,7.8,0.2133,1,0,0
231,0,1,"31-50",24369,662,8.4,0.2959,0,0,1
232,1,1,"18-30",54218,704,7.7,0.7766,1,1,3
233,1,1,"51+",24652,684,12.6,0.5311,1,1,3
234,1,0,"31-50",31121,619,0.9,0.0853,0,0,2
235,1,0,"31-50",37401,574,6.5,0.2984,0,0,2
236,1,0,"51+",39418,773,5.9,0.9168,0,1,2
237,1,1,"31-50",34967,648,11.8,0.5006,0,1,3
238,0,1,"31-50",23173,727,4.7,0.3083,0,0,1
239,1,0,"18-30",39249,530,16,0.4991,1,0,2
240,0,0,"31-50",23725,781,3.9,0.2962,1,0,0
241,1,1,"18-30",36017,595,8.7,0.2227,1,0,3
242,0,0,"31-50",37380,621,7.7,0.4838,0,0,0
243,1,1,"18-30",48242,726,4.5,0.8072,1,1,3
244,0,0,"31-50",42809,658,6.5,0.3074,0,0,0
245,1,1,"18-30",47280,620,13.1,0.7079,0,1,3
246,0,1,"51+",31796,475,9,0.0231,0,0,1
247,1,0,"18-30",25952,673,11,0.503,1,1,2
248,0,1,"51+",21505,578,8.6,0.0944,0,0,1
249,0,1,"31-50",39482,432,5.1,0.0299,0,0,1
250,0,0,"31-50",15709,611,7.7,0.0371,0,0,0
251,1,1,"18-30",45933,699,4.1,0.7342,0,1,3
252,1,0,"18-30",40161,625,8.4,0.4153,0,0,2
253,0,1,"31-50",49313,638,5.3,0.4771,1,0,1
254,1,0,"18-30",39915,698,18.7,0.9246,1,1,2
255,1,0,"31-50",22851,547,9.9,0.0457,0,0,2
256,0,1,"31-50",40595,728,12.7,0.7892,1,1,1
257,1,1,"18-30",48755,665,5.3,0.769,0,1,3
258,1,1,"31-50",36718,865,8.2,0.9207,1,1,3
259,1,0,"18-30",37640,756,9.5,0.747,1,1,2
260,0,1,"31-50",37232,769,8.6,0.8429,1,1,1
261,0,0,"31-50",36044,619,8,0.1719,1,0,0
262,0,0,"51+",33885,600,12.5,0.3619,0,0,0
263,0,1,"31-50",34442,671,8.4,0.7335,1,1,1
264,0,0,"18-30",49865,654,0.2,0.3268,1,0,0
265,1,0,"31-50",48789,569,13.7,0.3535,1,0,2
266,0,0,"31-50",50381,705,5.7,0.8441,1,1,0
267,1,0,"31-50",36766,712,4.6,0.6826,1,1,2
268,1,0,"31-50",36707,697,9.4,0.6849,1,1,2
269,1,1,"18-30",37518,668,10.1,0.6897,0,1,3
270,1,0,"31-50",45770,621,8.7,0.546,1,1,2
271,0,1,"18-30",48268,574,5.5,0.3306,0,0,1
272,1,0,"18-30",43382,603,12.6,0.5313,0,1,2
273,1,1,"51+",37456,505,14.4,0.1992,0,0,3
274,1,0,"51+",42466,804,9.1,0.9807,1,1,2
275,0,0,"31-50",31313,714,9.9,0.5252,0,1,0
276,0,0,"18-30",32475,573,6.8,0.0364,0,0,0
277,0,1,"31-50",26245,631,0,0.0987,0,0,1
278,1,0,"51+",41141,649,4.5,0.4721,0,0,2
279,1,1,"18-30",36641,652,1.4,0.2093,0,0,3
280,0,0,"51+",25870,624,11.5,0.1255,1,0,0
281,0,0,"18-30",34093,688,7.4,0.5248,0,1,0
282,1,0,"51+",43850,659,9.4,0.5935,1,1,2
283,1,1,"31-50",38736,689,3.3,0.6825,1,1,3
284,1,1,"31-50",37974,722,10.6,0.726,0,1,3
285,1,0,"51+",38116,703,15.6,0.4531,1,0,2
286,1,0,"31-50",47905,662,6,0.5322,1,1,2
287,1,0,"31-50",45800,698,10,0.6722,0,1,2
288,1,0,"18-30",39789,503,5.2,0.0439,0,0,2
289,1,1,"51+",32732,635,8.4,0.3803,0,0,3
290,0,0,"18-30",34415,744,3.4,0.6808,1,1,0
291,1,0,"31-50",29853,692,6.4,0.5148,1,1,2
292,1,1,"18-30",48777,771,13.4,0.9582,1,1,3
293,1,0,"31-50",42959,647,7.9,0.6856,1,1,2
294,0,0,"51+",45903,569,7,0.0911,1,0,0
295,0,0,"18-30",42730,574,0,0.1005,0,0,0
296,0,1,"31-50",37673,643,4.4,0.3414,0,0,1
297,0,1,"31-50",30280,548,3.9,0.0269,0,0,1
298,1,1,"18-30",39060,754,5,0.8108,0,1,3
299,1,1,"31-50",30472,689,10.6,0.5994,0,1,3
300,0,1,"18-30",32404,617,11.9,0.1332,1,0,1
301,0,1,"31-50",43306,728,0.4,0.5564,1,1,1
302,1,1,"51+",41343,687,9.1,0.8208,1,1,3
303,0,0,"18-30",35292,619,0,0.2052,0,0,0
304,0,0,"51+",30526,519,2.5,0.0704,0,0,0
305,0,1,"51+",44598,543,9.6,0.5225,0,1,1
306,1,0,"18-30",44214,634,8,0.5503,1,1,2
307,1,1,"31-50",33197,639,3.2,0.1788,0,0,3
308,1,0,"31-50",42308,687,0,0.5644,1,1,2
309,1,1,"18-30",48861,582,10.6,0.3332,1,0,3
310,1,1,"18-30",37916,552,10.3,0.2086,0,0,3
311,1,1,"31-50",40322,620,15.8,0.6387,0,1,3
312,1,0,"31-50",37222,769,13.4,0.899,1,1,2
313,0,1,"51+",44286,591,6,0.1723,1,0,1
314,1,0,"51+",40950,683,7.4,0.4883,1,0,2
315,1,1,"51+",61036,663,7.2,0.7264,0,1,3
316,0,0,"31-50",18182,592,5.4,0.0884,0,0,0
317,0,1,"18-30",33633,569,0,0.0364,0,0,1
318,1,1,"51+",47124,621,9.9,0.3491,1,0,3
319,1,1,"18-30",37938,590,11.3,0.3775,0,0,3
320,0,0,"51+",50535,700,3.7,0.7137,1,1,0
321,0,1,"51+",33911,639,4.8,0.0797,0,0,1
322,1,1,"31-50",31726,680,7.6,0.7282,0,1,3
323,1,0,"31-50",36482,665,2.3,0.3136,1,0,2
324,0,0,"31-50",32192,624,4.2,0.1957,0,0,0
325,1,1,"18-30",40851,683,4.3,0.5703,0,1,3
326,1,0,"51+",41291,676,4.8,0.721,0,1,2
327,0,0,"51+",45910,611,9.1,0.5605,1,1,0
328,1,1,"51+",34512,754,10.6,0.9314,0,1,3
329,1,0,"18-30",36301,741,8.3,0.6946,1,1,2
330,0,0,"31-50",33913,619,5.5,0.1213,0,0,0
331,0,0,"31-50",24776,642,6.2,0.0834,0,0,0
332,1,1,"51+",41665,668,16.8,0.7104,1,1,3
333,0,1,"18-30",36258,672,6.4,0.4342,0,0,1
334,0,1,"31-50",24394,713,5.4,0.3748,1,0,1
335,1,1,"31-50",30021,593,7.3,0.1319,0,0,3
336,1,1,"31-50",39446,649,5.9,0.3621,1,0,3
337,0,1,"51+",28561,538,7.8,0.0565,0,0,1
338,0,0,"18-30",39770,607,10.9,0.4956,1,0,0
339,0,0,"31-50",29485,661,7.7,0.2738,0,0,0
340,0,0,"31-50",33371,623,4.7,0.2421,0,0,0
341,1,1,"51+",43538,603,9.2,0.5211,1,1,3
342,1,1,"51+",33835,669,5.3,0.3017,0,0,3
343,1,0,"18-30",47369,634,4.5,0.4628,1,0,2
344,1,0,"18-30",42443,661,10.7,0.8269,1,1,2
345,1,0,"51+",58046,644,11.2,0.9136,1,1,2
346,1,0,"31-50",37465,624,7.5,0.1631,0,0,2
347,0,0,"51+",18230,725,3.4,0.2212,0,0,0
348,1,0,"51+",49375,524,11.9,0.3712,1,0,2
349,1,0,"31-50",40078,668,11,0.6281,0,1,2
350,0,0,"31-50",46843,665,14,0.7473,0,1,0
351,1,1,"18-30",32269,640,9.1,0.4437,0,0,3
352,0,0,"18-30",55112,630,11.9,0.431,1,0,0
353,1,0,"31-50",51331,672,2.1,0.8378,1,1,2
354,1,0,"18-30",38375,676,12,0.8605,1,1,2
355,0,0,"18-30",42926,639,2.1,0.273,1,0,0
356,0,1,"18-30",33372,537,4.7,0.3651,0,0,1
357,0,1,"18-30",49899,767,9,0.9013,1,1,1
358,1,0,"31-50",35233,681,8.9,0.5812,0,1,2
359,1,1,"18-30",41360,646,3.8,0.3217,1,0,3
360,0,1,"51+",25744,570,6.1,0.0526,0,0,1
361,1,0,"18-30",39275,735,8.5,0.8021,1,1,2
362,1,1,"31-50",32765,683,5.6,0.4818,0,0,3
363,0,0,"51+",47906,674,7.6,0.5522,0,1,0
364,1,1,"31-50",37417,690,4.8,0.5925,0,1,3
365,1,0,"18-30",35218,741,9.6,0.5701,0,1,2
366,0,1,"31-50",42999,673,10.1,0.5664,1,1,1
367,1,0,"31-50",26149,668,11.3,0.1442,0,0,2
368,1,1,"18-30",48441,666,4.5,0.7429,0,1,3
369,1,1,"18-30",34310,724,9,0.7255,1,1,3
370,1,1,"31-50",41529,684,5.8,0.5722,0,1,3
371,1,0,"31-50",29297,640,4.8,0.3621,0,0,2
372,1,0,"31-50",44963,719,5,0.8373,1,1,2
373,0,0,"51+",41743,615,6.1,0.352,0,0,0
374,1,0,"18-30",42780,574,9.6,0.2996,1,0,2
375,1,0,"31-50",34683,826,3.1,0.814,1,1,2
376,0,1,"31-50",38735,625,8.6,0.2386,0,0,1
377,0,0,"31-50",32163,616,0.4,0.0821,0,0,0
378,1,1,"31-50",41466,801,8.9,0.8263,1,1,3
379,1,1,"18-30",36521,780,7,0.837,1,1,3
380,0,1,"18-30",53483,508,2.4,0.1674,0,0,1
381,0,1,"51+",19904,623,8.3,0.0805,0,0,1
382,0,1,"51+",39056,476,4,0.0352,0,0,1
383,1,1,"18-30",55293,630,10.9,0.9133,1,1,3
384,0,0,"51+",27236,627,2.1,0.2326,0,0,0
385,1,0,"51+",26347,655,0,0.0418,0,0,2
386,0,1,"31-50",24244,549,6.3,0.0364,0,0,1
387,1,0,"51+",40899,639,8.7,0.5682,1,1,2
388,1,1,"51+",51337,658,9.8,0.8031,1,1,3
389,1,0,"31-50",45438,603,12.4,0.7824,1,1,2
390,1,1,"51+",41322,652,18.8,0.6281,1,1,3
391,0,1,"51+",25907,559,14.8,0.0798,0,0,1
392,1,0,"31-50",33978,475,9.7,0.0647,0,0,2
393,0,0,"31-50",34544,631,6.4,0.4251,0,0,0
394,0,0,"18-30",34544,629,15,0.4445,1,0,0
395,1,1,"51+",38757,560,10.4,0.2283,1,0,3
396,1,0,"18-30",25232,706,5.4,0.4995,0,0,2
397,1,0,"51+",42014,740,10.7,0.8808,1,1,2
398,1,1,"51+",38132,686,8.6,0.5877,1,1,3
399,1,0,"18-30",27328,694,7.1,0.3722,1,0,2
400,0,0,"31-50",20096,632,3.6,0.1402,0,0,0
401,0,0,"51+",35316,620,2.1,0.0838,0,0,0
402,1,1,"31-50",32788,702,9.1,0.7539,1,1,3
403,0,0,"31-50",19351,600,4.5,0.0377,0,0,0
404,0,1,"31-50",33224,698,1.2,0.2501,0,0,1
405,1,0,"51+",43939,648,2.5,0.5641,0,1,2
406,1,1,"18-30",48232,716,6.5,0.6678,1,1,3
407,0,0,"31-50",26058,787,12.8,0.7974,1,1,0
408,1,0,"51+",39722,670,3.5,0.5235,0,1,2
409,1,0,"31-50",49039,623,9.1,0.7581,0,1,2
410,0,1,"18-30",22089,708,3.9,0.5329,0,1,1
411,1,1,"18-30",49137,634,0.6,0.7087,1,1,3
412,0,1,"51+",48586,685,3.9,0.6339,1,1,1
413,1,1,"31-50",34097,632,5.8,0.182,1,0,3
414,1,1,"31-50",38918,671,8,0.819,0,1,3
415,1,0,"31-50",9237,683,8.9,0.1,0,0,2
416,1,0,"51+",24137,643,10.5,0.2423,0,0,2
417,0,0,"31-50",44415,762,5.3,0.8731,0,1,0
418,1,0,"18-30",16715,648,13.7,0.1623,1,0,2
419,1,0,"51+",40784,670,9.6,0.3995,1,0,2
420,1,1,"18-30",31376,718,4.8,0.6447,0,1,3
421,1,0,"31-50",38134,720,8,0.668,1,1,2
422,0,1,"18-30",29051,649,6.3,0.1749,1,0,1
423,0,0,"18-30",32472,630,11.8,0.3888,1,0,0
424,1,0,"18-30",38808,741,5,0.844,1,1,2
425,0,0,"31-50",37477,664,8.1,0.5341,0,1,0
426,0,1,"18-30",31641,710,5.9,0.4177,0,0,1
427,1,0,"18-30",48807,638,9.3,0.7683,1,1,2
428,1,0,"51+",31567,817,13.1,0.8386,1,1,2
429,1,0,"31-50",39602,785,11.3,0.9362,1,1,2
430,0,0,"51+",17187,575,14,0.0227,0,0,0
431,0,1,"31-50",37914,618,2.1,0.1851,0,0,1
432,0,1,"51+",35181,589,0.9,0.093,0,0,1
433,1,1,"18-30",46351,760,9,0.8723,1,1,3
434,0,1,"51+",22851,662,7.4,0.1565,1,0,1
435,1,1,"31-50",35654,683,13.3,0.4083,1,0,3
436,0,1,"18-30",24326,586,2.9,0.0878,0,0,1
437,1,1,"18-30",39368,794,8.4,0.9354,1,1,3
438,1,1,"31-50",33414,752,10,0.7354,1,1,3
439,1,0,"18-30",37589,699,6.3,0.5518,0,1,2
440,1,0,"18-30",48930,789,1.6,0.8772,1,1,2
441,1,1,"18-30",54757,681,5.7,0.7906,0,1,3
442,0,0,"31-50",18550,612,8.7,0.0373,0,0,0
443,0,1,"51+",23140,463,11.1,0.0162,0,0,1
444,1,1,"51+",49402,605,4.2,0.5344,1,1,3
445,0,0,"18-30",34613,517,9.5,0.0718,0,0,0
446,0,1,"31-50",26085,476,8.1,0.0421,0,0,1
447,0,1,"18-30",39564,457,10.4,0.1115,0,0,1
448,1,0,"31-50",30691,630,7.7,0.1396,1,0,2
449,1,0,"31-50",38843,694,18.7,0.9143,0,1,2
450,0,0,"51+",36955,578,7.4,0.1172,0,0,0
451,1,1,"18-30",46330,685,12.8,0.9393,1,1,3
452,1,0,"31-50",45418,592,4,0.4486,1,0,2
453,1,0,"31-50",44377,759,10.7,0.9039,1,1,2
454,1,1,"18-30",43276,582,7,0.3611,1,0,3
455,1,0,"51+",47771,747,8.7,0.8765,1,1,2
456,0,1,"31-50",31188,624,5.7,0.1666,1,0,1
457,0,0,"31-50",25270,549,4.1,0.0366,0,0,0
458,0,0,"31-50",37296,675,7.6,0.3779,1,0,0
